Account_Number,Interaction_ID,Contact_Date,Time,NPS_Score,Overall_Experience,Self_Service_Channel_Used,Advisor_Role,Contact_Channel,Contact_Reason,Contact_Resolution,Issue_Resolved,Verbatims
9000001,1234531,8/15/2022,11:54:00 AM,2,1,No Attempt,Tier 1,Chat,Cancel Service,Cancel Service,Yes,bad service and awful app is the cause of me leaving
9000001,1234545,8/13/2022,10:54:00 AM,1,1,App,Tier 1,Chat,Cancel Service,Disconnect,"No, but expect it to be resolved",DONE.
9000002,1234523,8/11/2022,8:06:00 AM,8,5,IVR,Tier 2,Voice,Cancel Service,Change Plan,Yes,My plan costed too much but the advisor worked with me and found a cheaper plan.
9000003,1234507,8/10/2022,11:58:00 AM,8,5,Web,Tier 2,Chat,Cancel Service,Explain Bill,Yes,I was fed up but Accommodating advisor who helped me understand my bill
9000004,1234600,8/18/2022,12:12:00 PM,0,5,No Attempt,Tier 2,Voice,Cancel Service,Cancel Service,Yes,"Finished with TelCo Inc. the advisor was great, gave me no issues cancelling my service."
9000005,1234503,8/10/2022,7:37:00 AM,7,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000005,1234504,8/10/2022,7:42:00 AM,10,5,,Tier 2,Voice,Add Services,Add Device,Yes,
9000006,1234516,8/10/2022,4:54:00 PM,8,2,,Tier 2,Voice,Add Services,Add Device,Yes,
9000006,1234515,8/10/2022,4:23:00 PM,7,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000007,1234512,8/10/2022,1:53:00 PM,9,3,,Tier 2,Voice,Add Services,Add Device,Yes,Shouldn't I be able to add a new device on the app?
9000007,1234511,8/10/2022,1:36:00 PM,7,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000008,1234529,8/11/2022,2:08:00 PM,9,3,,Tier 2,Voice,Add Services,Add Device,Yes,
9000008,1234527,8/11/2022,1:50:00 PM,1,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000009,1234521,8/11/2022,7:06:00 AM,2,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000009,1234522,8/11/2022,7:30:00 AM,8,3,,Tier 2,Voice,Add Services,Add Device,Yes,Thanks for helping
9000010,1234539,8/12/2022,5:31:00 PM,8,2,,Tier 2,Voice,Add Services,Add Device,Yes,I hate talking to call centers
9000010,1234538,8/12/2022,5:16:00 PM,3,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000011,1234565,8/15/2022,8:27:00 AM,7,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000011,1234566,8/15/2022,8:49:00 AM,8,3,,Tier 2,Voice,Add Services,Add Data,Yes,I would consider myself pretty tech savvy
9000012,1234572,8/15/2022,7:21:00 PM,7,3,,Tier 2,Voice,Add Services,Add Data,Yes,This seems like it should have been eaier to do on my own
9000012,1234571,8/15/2022,6:55:00 PM,7,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000013,1234579,8/16/2022,2:28:00 PM,8,5,,Tier 2,Voice,Add Services,Add Data,Yes,
9000013,1234578,8/16/2022,2:12:00 PM,5,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000014,1234593,8/17/2022,4:01:00 PM,2,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000014,1234594,8/17/2022,4:16:00 PM,9,5,,Tier 2,Voice,Add Services,Add Data,Yes,"Fixed, thanks"
9000015,1234598,8/17/2022,7:21:00 PM,10,3,,Tier 2,Voice,Add Services,Add Data,Yes,
9000015,1234597,8/17/2022,7:04:00 PM,7,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000016,1234589,8/17/2022,10:35:00 AM,1,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000016,1234590,8/17/2022,10:55:00 AM,10,3,,Tier 2,Voice,Add Services,Add Data,Yes,Let your advisors help people
9000017,1234605,8/18/2022,7:23:00 PM,7,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000017,1234607,8/18/2022,7:33:00 PM,8,3,,Tier 2,Voice,Add Services,Add Data,Yes,Every advisor should be able to do everything in my opinion
9000018,1234604,8/18/2022,1:06:00 PM,8,3,,Tier 2,Voice,Add Services,Add Data,Yes,"Don't all advisors use the same tools? If so, why did I have to be transferred?"
9000018,1234603,8/18/2022,12:49:00 PM,7,1,App,Tier 1,Voice,Add Services,Transfer,"No, but expect it to be resolved",
9000019,1234613,8/19/2022,9:23:00 PM,10,3,,Tier 2,Voice,Add Services,Add Data,Yes,second advisor was more helpful. First advisor not helpful
